X,Y,FID,OBJECTID,TFM_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,DATA_SOURC,TIME_CATEG,YEAR_SINCE,LAST_YEAR,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS,VSDATA_SITE
145.21151059382416,-38.033894699146686,4605,4034,4913,FRANKSTON-DANDENONG RD S BD BTWN ABBOTTS RD & THOMPSON RD,INTERSECTION,Scheduled PubTpt Bus flow,FRANKSTON-DANDENONG RD BTWN ABBOTTS RD & THOMPSON RD,2090,DANDENONG VALLEY HIGHWAY,FRANKSTON-DANDENONG ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,4913
144.9184126647305,-37.683547578331535,4607,4632,4844,PASCOE VALE RD NEBD NE of DIMBOOLA RD,INTERSECTION,All Moves,PASCOE VALE RD NNE OF DIMBOOLA RD,5819,PASCOE VALE ROAD,PASCOE VALE ROAD,TMVMT,Manual,Greater than 10 Years,23,1993,12000,1100,0.09,4844
144.99363915059865,-37.79585319103124,4613,4534,4881,HODDLE ST N OF EASTERN FWY WB OFF,INTERSECTION,All Moves,EASTERN FWY WB OFFRAMP & HODDLE ST,2080,HODDLE HIGHWAY,HODDLE STREET,TMVMT,Manual,Greater than 10 Years,18,1998,18000,0,0.0,4881
145.05920215941438,-37.69749760731391,4614,4633,3747,PLENTY RD N BD N of SETTLEMENT RD,INTERSECTION,All Moves,PLENTY RD N OF SETTLEMENT RD,2140,PLENTY VALLEY HIGHWAY,PLENTY ROAD,TMVMT,Manual,Greater than 10 Years,19,1997,22000,510,0.02,3747
145.0119947252061,-37.76625369901412,4616,4036,4915,VICTORIA RD 50M BEFORE CHRISTMAS ST,INTERSECTION,Scheduled PubTpt Bus flow,VICTORIA RD 50M BEFORE CHRISTMAS ST,9999,Missing Data,VICTORIA ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,4915
145.05100811234544,-37.9197726999756,4625,4635,4870,TUCKER RD N of CENTRE RD,INTERSECTION,All Moves,CENTRE RD & TUCKER RD,9999,Missing Data,TUCKER ROAD,TMVMT,Manual,Greater than 10 Years,19,1997,6200,0,0.0,4870
145.1504471653286,-37.96178238911644,4628,4736,4848,SPRINGVALE RD N of HEATHERTON RD,INTERSECTION,All Moves,HEATHERTON RD & SPRINGVALE RD,2400,STATE (BELL/SPRINGVALE) HIGHWAY,SPRINGVALE ROAD,TMVMT,Manual,Greater than 10 Years,22,1994,16000,0,0.0,4848
145.01941701942275,-37.77129249824708,4633,4737,3827,STATION_ST N OF SEPARATION_ST,INTERSECTION,Right Missing,SEPARATION ST/STATION ST,5860,FAIRFIELD-RESERVOIR ROAD,STATION STREET,SCATS,Scats,Greater than 10 Years,18,1998,12000,0,0.0,3827
143.59951965388228,-37.67884615349045,4635,4537,4950,GLENELG HIGHWAY EAST BD WEST OF LISMORE-SCARSDALE ROAD,MIDBLOCK,All Moves,GLENELG HIGHWAY EAST BD WEST OF LISMORE-SCARSDALE ROAD,2670,GLENELG HIGHWAY,GLENELG HIGHWAY,APARX,Classification,Between 2 and 5 Years,3,2013,900,120,0.14,4950
145.1000240242072,-37.95551000209552,4638,4538,2878,OLD DANDENONG RD N OF KINGSTON RD,INTERSECTION,All Moves,KINGSTON RD & OLD DANDENONG RD,5319,OLD DANDENONG ROAD,OLD DANDENONG ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,2878
