Site,Samples,RMSE,MAE,MAPE (%),R2
5446,488,0.111602,0.082535,59.9844,0.759703
3895,488,0.111683,0.092725,139.0149,0.584514
32026,488,0.111691,0.086986,135.1968,0.761905
1725,488,0.111758,0.092237,136.8375,0.761964
2647,488,0.111765,0.091318,84.7331,0.713801
4172,488,0.111769,0.091532,160.6529,0.773898
5109,488,0.111879,0.088665,196.9388,0.760873
5207,488,0.111914,0.093604,119.0007,0.768929
383,488,0.111916,0.083265,334.7095,0.771276
1837,488,0.111941,0.089367,67.4223,0.744902
5861,488,0.111977,0.088696,118.0267,0.753425
3749,488,0.111995,0.089154,62.0678,0.74704
206,488,0.11204,0.083491,80.5294,0.572471
3431,488,0.112106,0.089079,81.1198,0.73122
1246,488,0.112113,0.084976,53.3528,0.746031
1954,488,0.112132,0.086961,145.1101,0.76195
6825,488,0.112134,0.089872,277.8047,0.735768
1034,488,0.112145,0.089197,42.2224,0.706771
5045,488,0.112148,0.092423,150.2476,0.771125
5114,488,0.112165,0.096814,162.2949,0.745942
2726,488,0.112187,0.093874,90.07,0.762303
6801,488,0.112188,0.089028,284.6927,0.766453
6647,488,0.112188,0.08809,190.4393,0.739038
2515,488,0.112189,0.092384,104.2722,0.751367
3880,488,0.11221,0.088411,35.3531,0.696519
522,488,0.112238,0.087488,71.2233,0.752062
3478,488,0.112314,0.085977,92.8397,0.757764
823,488,0.112315,0.093392,209.5838,0.778934
568,488,0.112451,0.083413,135.4267,0.767686
1207,488,0.112544,0.082074,81.3357,0.704235
1755,488,0.112576,0.084988,72.4225,0.733565
5178,488,0.112632,0.089961,124.4382,0.716944
1387,488,0.112655,0.095977,205.5531,0.760303
4903,488,0.112697,0.092679,132.2965,0.768938
952,488,0.112705,0.092608,185.8137,0.737289
32010,488,0.112709,0.089982,405.3221,0.730972
6406,488,0.112718,0.098051,270.2557,0.759121
32073,488,0.112734,0.088163,149.6838,0.758567
822,488,0.112737,0.09099,168.2067,0.765181
3873,488,0.11275,0.087442,111.8661,0.763884
263,488,0.112757,0.089152,143.648,0.770061
1474,488,0.112787,0.096027,426.7134,0.72473
4497,488,0.112885,0.088263,47.0279,0.654666
32044,488,0.112895,0.083099,156.2134,0.763839
1565,488,0.113,0.086003,95.8834,0.76288
4051,488,0.113003,0.093038,154.0181,0.760365
5335,488,0.113093,0.098029,112.4291,0.767008
32182,488,0.113103,0.089617,92.1245,0.71801
2875,488,0.11317,0.090704,43.8826,0.662119
4133,488,0.113207,0.088293,175.7962,0.760539
4583,488,0.113221,0.080068,29.0683,0.384872
3626,488,0.113442,0.09216,60.5015,0.755933
6723,488,0.113495,0.092238,235.726,0.749565
4852,488,0.113573,0.094558,103.9099,0.72847
5810,488,0.1136,0.095348,72.5198,0.75798
3284,488,0.113609,0.087142,38.2495,0.728566
2253,488,0.113642,0.085985,80.0062,0.746817
1243,488,0.113655,0.087005,62.1979,0.750022
5858,488,0.113718,0.09018,169.0672,0.757192
1587,488,0.113737,0.092262,160.3907,0.638376
469,488,0.113743,0.092896,249.7838,0.764663
2693,488,0.113752,0.092138,119.8635,0.742415
4271,488,0.113756,0.097573,89.9817,0.740883
3827,488,0.113811,0.095532,229.6956,0.770994
4542,488,0.113864,0.08801,62.3692,0.747173
2261,488,0.113893,0.081351,146.1187,0.756364
1714,488,0.113999,0.086598,129.0948,0.763179
6068,488,0.114055,0.100604,183.6473,0.776286
4511,488,0.114083,0.086729,33.1574,0.638511
1723,488,0.114125,0.089839,48.3646,0.693491
2286,488,0.114128,0.085418,66.3825,0.741253
5249,488,0.114133,0.084158,85.017,0.693197
5158,488,0.114158,0.090019,254.2484,0.764625
1718,488,0.114181,0.09325,209.5419,0.757242
5135,488,0.114239,0.087679,151.4121,0.759349
2400,488,0.114403,0.090002,29.2687,0.464376
4654,488,0.114508,0.089447,90.0865,0.746729
32101,488,0.11456,0.088024,83.0457,0.713883
4070,488,0.114575,0.091719,164.5805,0.753522
32058,488,0.114621,0.094966,178.5349,0.765309
5028,488,0.114633,0.094542,115.129,0.765085
1263,488,0.114663,0.092469,175.3739,0.751477
5390,488,0.114683,0.087252,112.5525,0.673301
545,488,0.114698,0.091123,185.0372,0.768894
2892,488,0.114718,0.085149,164.2401,0.720557
6244,488,0.114753,0.095264,318.4156,0.497466
4911,488,0.114818,0.093752,169.4556,0.73742
2392,488,0.114857,0.0852,43.5124,0.720973
2915,488,0.114886,0.087604,65.6284,0.67367
4449,488,0.114992,0.092344,118.3983,0.748253
1146,488,0.115009,0.090896,160.9642,0.755891
4601,488,0.115162,0.093529,41.434,0.482656
4349,488,0.115225,0.09357,145.7547,0.763295
4799,488,0.115255,0.091867,85.8428,0.700452
3543,488,0.115257,0.091961,186.1158,0.754551
1300,488,0.115294,0.088509,88.4857,0.692195
4535,488,0.115368,0.08808,69.787,0.734162
6074,488,0.115424,0.095306,216.3515,0.768898
596,488,0.115447,0.091688,141.9022,0.773081
5453,488,0.115475,0.094404,175.9796,0.764686
6291,488,0.115516,0.092791,206.4749,0.765431
954,488,0.115552,0.091164,122.5919,0.68966
1577,488,0.115577,0.087652,211.0909,0.7383
445,488,0.115592,0.087735,258.9558,0.77395
4762,488,0.115611,0.080524,47.6596,0.648395
1510,488,0.11564,0.087261,91.2116,0.752988
4732,488,0.11564,0.098503,116.2363,0.748632
32082,488,0.115646,0.087667,107.3293,0.748406
5851,488,0.115708,0.084433,83.5504,0.753001
32048,488,0.115791,0.095647,98.4352,0.751649
5389,488,0.115791,0.091354,33.1982,0.626073
3629,488,0.115842,0.088969,125.3235,0.739699
4333,488,0.11592,0.08848,124.8772,0.75692
4834,488,0.115968,0.088125,84.1484,0.74629
258,488,0.116007,0.087673,47.5303,0.727182
500,488,0.11601,0.092939,70.3272,0.751366
6053,488,0.116133,0.089329,198.2743,0.752447
4528,488,0.116168,0.094355,107.6692,0.744872
2967,488,0.116185,0.088596,74.6562,0.732904
4788,488,0.116239,0.095893,83.4444,0.754483
3429,488,0.116273,0.089387,63.456,0.743344
1982,488,0.116317,0.090159,60.4407,0.747204
702,488,0.116329,0.096253,75.1593,0.754091
