Site,RMSE,MAE,MAPE (%),R2,n_test
3308,0.03624780662915781,0.028963332995772362,9.339187622070312,0.985007107257843,488
1697,0.03625482019746556,0.029033614322543144,9.77979564666748,0.9840816259384155,488
3749,0.03625773087948319,0.028849665075540543,10.498930931091309,0.9734873175621033,488
3897,0.036258483797795046,0.029621943831443787,11.62795352935791,0.9764167070388794,488
530,0.03626391429987538,0.029715804383158684,9.774788856506348,0.984398365020752,488
2882,0.036288440150312753,0.02893790602684021,9.515114784240723,0.985158383846283,488
657,0.03628888927527188,0.028616849333047867,9.050151824951172,0.9821010231971741,488
2876,0.03633049423941707,0.02869492955505848,10.026081085205078,0.9800020456314087,488
265,0.03633593800831189,0.029454071074724197,9.266459465026855,0.9832730293273926,488
411,0.036340599328167404,0.029728436842560768,8.948263168334961,0.9846727252006531,488
1579,0.036347490899100894,0.029243899509310722,10.259532928466797,0.9824838042259216,488
200,0.036366457993292474,0.028523968532681465,9.237055778503418,0.9846418499946594,488
2798,0.03638443133914101,0.029870349913835526,10.115554809570312,0.9851711988449097,488
4790,0.03638649501721515,0.029038136824965477,9.130163192749023,0.983898937702179,488
2104,0.036412103682725606,0.02958020195364952,9.415376663208008,0.9824212789535522,488
888,0.036422302793345414,0.029948150739073753,9.351619720458984,0.9845055937767029,488
161,0.03643462870076639,0.02938489429652691,9.677221298217773,0.9801604151725769,488
3175,0.03644725387826126,0.029442252591252327,9.670965194702148,0.98225337266922,488
1107,0.036470497747315006,0.029223402962088585,9.687530517578125,0.9800562858581543,488
4994,0.036484640534535366,0.02911367639899254,9.23400592803955,0.9848259091377258,488
2317,0.03650626458387095,0.029458865523338318,9.097155570983887,0.9849631786346436,488
251,0.036514929428135556,0.029060129076242447,8.440873146057129,0.9844182133674622,488
1464,0.0365321573517178,0.02965581603348255,10.608415603637695,0.977473258972168,488
4469,0.03655218953575783,0.029696468263864517,9.718294143676758,0.9827577471733093,488
199,0.03655384883460712,0.029114220291376114,9.148219108581543,0.9831989407539368,488
799,0.03655740285662571,0.030046997591853142,9.3897705078125,0.9848112463951111,488
1242,0.03656232091307593,0.02915358915925026,13.949605941772461,0.9305626749992371,488
3699,0.036562655234109204,0.029153766110539436,10.664633750915527,0.9854199886322021,488
749,0.0365807676809922,0.029377344995737076,10.376890182495117,0.9829314351081848,488
2289,0.03658283778583094,0.029539667069911957,9.678974151611328,0.9852247834205627,488
798,0.03658305258631197,0.0283097792416811,9.835548400878906,0.9828729629516602,488
32037,0.03659538956417372,0.028737103566527367,9.301387786865234,0.9798396229743958,488
3330,0.03660016256431708,0.030172226950526237,11.779257774353027,0.9763601422309875,488
2895,0.03662657696682277,0.02690054476261139,7.129098415374756,0.983705997467041,488
3224,0.03664262138857427,0.027920566499233246,9.472740173339844,0.9805322885513306,488
3257,0.036643399756765144,0.029754450544714928,10.172740936279297,0.9833635091781616,488
5854,0.03665676287197149,0.030304905027151108,12.465498924255371,0.9841932058334351,488
4460,0.03665910972865555,0.02864278294146061,8.089845657348633,0.9789326190948486,488
1863,0.036661397689891205,0.027967557311058044,9.022909164428711,0.9828717112541199,488
1195,0.03668428849450059,0.029567668214440346,9.90340805053711,0.9821820259094238,488
3242,0.0367025677044694,0.02917369455099106,8.638516426086426,0.9846394062042236,488
3513,0.03670389510291148,0.0289777759462595,8.948512077331543,0.9793757200241089,488
2018,0.03672513963265504,0.02913602441549301,9.656277656555176,0.9826301336288452,488
1993,0.036726691269948056,0.029468461871147156,8.950861930847168,0.9829849004745483,488
1477,0.03673244237511288,0.029468610882759094,9.86562442779541,0.9824882745742798,488
2301,0.036740640382499065,0.02880629152059555,9.908862113952637,0.9784405827522278,488
3668,0.0367717504983569,0.029087791219353676,12.413252830505371,0.9477522373199463,488
169,0.03684044155838749,0.029019445180892944,9.771768569946289,0.9805483222007751,488
269,0.03684922527552407,0.029040785506367683,10.150842666625977,0.9802055358886719,488
