Site,Samples,RMSE,MAE,MAPE (%),R2
1584,488,0.095242,0.076418,100.9444,0.80429
3578,488,0.095257,0.077042,180.3353,0.816403
5241,488,0.095299,0.083738,1380.1432,0.642054
523,488,0.095332,0.075553,165.776,0.727744
235,488,0.095416,0.081201,289.5885,0.822728
4542,488,0.095421,0.077662,82.0941,0.822445
4697,488,0.095434,0.083628,111.0963,0.812529
917,488,0.095487,0.081905,288.0154,0.648238
2132,488,0.095508,0.075949,175.966,0.785212
2205,488,0.095597,0.062272,77.7709,0.672625
5446,488,0.095606,0.074891,81.1724,0.82365
4062,488,0.095706,0.075457,107.3798,0.815391
5377,488,0.095752,0.076209,145.4849,0.792449
2887,488,0.095754,0.082496,218.1519,0.818386
5062,488,0.095765,0.078262,225.4878,0.750145
5882,488,0.095813,0.078442,369.759,0.787362
3323,488,0.095817,0.075452,208.4712,0.82751
309,488,0.095819,0.078307,258.5427,0.822111
2741,488,0.095885,0.07745,251.1455,0.818039
5360,488,0.09609,0.0787,396.5432,0.788262
5383,488,0.096131,0.075858,73.5884,0.754168
5130,488,0.096139,0.083007,333.3476,0.796061
5814,488,0.096147,0.080918,261.7518,0.753954
4875,488,0.096161,0.081333,65.9498,0.613918
3973,488,0.096202,0.080145,114.9639,0.778799
5662,488,0.096284,0.085241,603.7456,0.772592
4328,488,0.096329,0.081022,281.5824,0.70131
4601,488,0.096391,0.077223,42.3601,0.637561
1982,488,0.096415,0.078982,82.3703,0.826311
5401,488,0.096453,0.082792,251.3441,0.738739
4834,488,0.096455,0.077658,114.2293,0.824484
2232,488,0.096541,0.077911,125.9505,0.785138
1486,488,0.096579,0.078344,233.4938,0.823072
3660,488,0.096598,0.071085,324.0371,0.568435
5661,488,0.096605,0.085929,538.6111,0.780524
3394,488,0.09662,0.078547,149.5076,0.794204
4846,488,0.096625,0.078429,224.2696,0.818664
3623,488,0.096753,0.084476,165.1462,0.586028
2388,488,0.096758,0.074387,97.4812,0.805398
6403,488,0.096789,0.079157,106.2994,0.808582
3661,488,0.096794,0.077815,205.2304,0.826178
2389,488,0.096794,0.074891,201.5615,0.758977
5373,488,0.096824,0.079139,149.8639,0.805267
2888,488,0.096827,0.083735,154.4283,0.795345
1986,488,0.096844,0.078056,102.1937,0.83252
3043,488,0.096847,0.081008,421.3861,0.820804
5420,488,0.096925,0.075726,90.6437,0.792688
5950,488,0.096942,0.079555,142.8104,0.575413
520,488,0.096987,0.085314,295.9494,0.823469
4172,488,0.097009,0.082044,236.6395,0.829672
1381,488,0.097024,0.079736,204.9593,0.818629
2253,488,0.097081,0.078427,111.4912,0.815235
1868,488,0.097125,0.074857,156.695,0.787729
1837,488,0.097179,0.079788,92.3638,0.807747
6002,488,0.097212,0.088993,540.9082,0.794594
653,488,0.097232,0.077571,181.5309,0.78583
289,488,0.097243,0.080995,280.6828,0.812663
4535,488,0.097259,0.077865,92.1926,0.811071
2091,488,0.097315,0.078119,141.2956,0.591419
4654,488,0.097334,0.079994,120.5307,0.817005
3873,488,0.097382,0.078709,160.1504,0.823863
1324,488,0.09739,0.078539,139.7751,0.81546
3040,488,0.097408,0.081558,425.6164,0.818591
3626,488,0.09747,0.082774,79.3559,0.819821
4436,488,0.097477,0.075599,36.5084,0.822138
1315,488,0.097526,0.074601,215.6123,0.782269
2124,488,0.097553,0.077303,116.7861,0.703954
439,488,0.097576,0.080929,429.6892,0.804138
